threads, 32
j, 16 k, 7 , tkt1[j-1][k-1], 1.03e-06
j, 16 k, 8 , tkt1[j-1][k-1], 1.16e-06
j, 16 k, 9 , tkt1[j-1][k-1], 1.3e-06
j, 16 k, 10 , tkt1[j-1][k-1], 1.43e-06
j, 16 k, 11 , tkt1[j-1][k-1], 1.57e-06
j, 16 k, 12 , tkt1[j-1][k-1], 1.7e-06
j, 16 k, 13 , tkt1[j-1][k-1], 1.83e-06
j, 16 k, 14 , tkt1[j-1][k-1], 1.96e-06
j, 16 k, 15 , tkt1[j-1][k-1], 2.09e-06
j, 16 k, 1 , tkt2[j-1][k-1], 1.7e-07
j, 16 k, 2 , tkt2[j-1][k-1], 4.588e-05
j, 16 k, 3 , tkt2[j-1][k-1], 8.716e-05
j, 16 k, 4 , tkt2[j-1][k-1], 0.00018257
j, 16 k, 5 , tkt2[j-1][k-1], 0.0002208
j, 16 k, 6 , tkt2[j-1][k-1], 0.00026473
j, 16 k, 7 , tkt2[j-1][k-1], 0.00030214
j, 16 k, 8 , tkt2[j-1][k-1], 0.00043512
j, 16 k, 9 , tkt2[j-1][k-1], 0.0005278
j, 16 k, 10 , tkt2[j-1][k-1], 0.00059694
j, 16 k, 11 , tkt2[j-1][k-1], 0.00068826
j, 16 k, 12 , tkt2[j-1][k-1], 0.00087825
j, 16 k, 13 , tkt2[j-1][k-1], 0.00090705
j, 16 k, 14 , tkt2[j-1][k-1], 0.00094139
j, 16 k, 15 , tkt2[j-1][k-1], 0.00097134
j, 16 t3-t2-t2-t1, 0.00103535
j, 17 k, 1 , tkt1[j-1][k-1], 2.3e-07
j, 17 k, 2 , tkt1[j-1][k-1], 3.8e-07
j, 17 k, 3 , tkt1[j-1][k-1], 5.3e-07
j, 17 k, 4 , tkt1[j-1][k-1], 6.6e-07
j, 17 k, 5 , tkt1[j-1][k-1], 8e-07
j, 17 k, 6 , tkt1[j-1][k-1], 9.3e-07
j, 17 k, 7 , tkt1[j-1][k-1], 1.06e-06
j, 17 k, 8 , tkt1[j-1][k-1], 1.2e-06
j, 17 k, 9 , tkt1[j-1][k-1], 1.34e-06
j, 17 k, 10 , tkt1[j-1][k-1], 1.48e-06
j, 17 k, 11 , tkt1[j-1][k-1], 1.62e-06
j, 17 k, 12 , tkt1[j-1][k-1], 1.75e-06
j, 17 k, 13 , tkt1[j-1][k-1], 1.89e-06
j, 17 k, 14 , tkt1[j-1][k-1], 2.03e-06
j, 17 k, 15 , tkt1[j-1][k-1], 2.17e-06
j, 17 k, 16 , tkt1[j-1][k-1], 2.31e-06
j, 17 k, 1 , tkt2[j-1][k-1], 1.5e-07
j, 17 k, 2 , tkt2[j-1][k-1], 4.06e-05
j, 17 k, 3 , tkt2[j-1][k-1], 7.112e-05
j, 17 k, 4 , tkt2[j-1][k-1], 0.00010314
j, 17 k, 5 , tkt2[j-1][k-1], 0.00016439
j, 17 k, 6 , tkt2[j-1][k-1], 0.00020727
j, 17 k, 7 , tkt2[j-1][k-1], 0.00024538
j, 17 k, 8 , tkt2[j-1][k-1], 0.000294611
j, 17 k, 9 , tkt2[j-1][k-1], 0.000407251
j, 17 k, 10 , tkt2[j-1][k-1], 0.000440211
j, 17 k, 11 , tkt2[j-1][k-1], 0.000467891
j, 17 k, 12 , tkt2[j-1][k-1], 0.000509981
j, 17 k, 13 , tkt2[j-1][k-1], 0.000598081
j, 17 k, 14 , tkt2[j-1][k-1], 0.000660941
j, 17 k, 15 , tkt2[j-1][k-1], 0.000700801
j, 17 k, 16 , tkt2[j-1][k-1], 0.000772481
j, 17 t3-t2-t2-t1, 0.000878471
j, 18 k, 1 , tkt1[j-1][k-1], 2.4e-07
j, 18 k, 2 , tkt1[j-1][k-1], 4.1e-07
j, 18 k, 3 , tkt1[j-1][k-1], 5.8e-07
j, 18 k, 4 , tkt1[j-1][k-1], 7.5e-07
j, 18 k, 5 , tkt1[j-1][k-1], 9.2e-07
j, 18 k, 6 , tkt1[j-1][k-1], 1.09e-06
j, 18 k, 7 , tkt1[j-1][k-1], 1.25e-06
j, 18 k, 8 , tkt1[j-1][k-1], 1.42e-06
j, 18 k, 9 , tkt1[j-1][k-1], 1.6e-06
